Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.39      3.65     0.02  7606628     0.00     0.00  Eigen::EigenBase<Eigen::Matrix<float, -1, 1, 0, -1, 1> >::cols() const
  0.26      3.66     0.01 16697899     0.00     0.00  Eigen::EigenBase<Eigen::Matrix<float, -1, -1, 0, -1, -1> >::rows() const
  0.26      3.67     0.01  8356849     0.00     0.00  Eigen::internal::variable_if_dynamic<long, -1>::value() const
  0.26      3.68     0.01  8347225     0.00     0.00  Eigen::DenseStorage<float, -1, -1, -1, 0>::cols() const
  0.26      3.69     0.01  8347225     0.00     0.00  Eigen::PlainObjectBase<Eigen::Matrix<float, -1, -1, 0, -1, -1> >::cols() const
  0.26      3.70     0.01  8346454     0.00     0.00  Eigen::EigenBase<Eigen::Matrix<float, -1, -1, 0, -1, -1> >::cols() const
  0.26      3.71     0.01  8346241     0.00     0.00  Eigen::internal::evaluator<Eigen::Matrix<float, -1, -1, 0, -1, -1> >::~evaluator()
  0.26      3.72     0.01  8346120     0.00     0.00  Eigen::DenseCoeffsBase<Eigen::Matrix<float, -1, -1, 0, -1, -1>, 1>::coeffRef(long, long)
  0.26      3.73     0.01  7607032     0.00     0.00  Eigen::DenseStorage<float, -1, -1, 1, 0>::cols()
  0.26      3.74     0.01  7607032     0.00     0.00  Eigen::DenseStorage<float, -1, -1, 1, 0>::rows() const
  0.26      3.75     0.01  7606820     0.00     0.00  Eigen::EigenBase<Eigen::Matrix<float, -1, 1, 0, -1, 1> >::derived()
  0.26      3.76     0.01  7606626     0.00     0.00  Eigen::internal::variable_if_dynamic<long, 0>::variable_if_dynamic(long)
  0.26      3.77     0.01  7606622     0.00     0.00  Eigen::internal::evaluator_base<Eigen::Matrix<float, -1, 1, 0, -1, 1> >::evaluator_base()
  0.26      3.78     0.01  7606622     0.00     0.00  Eigen::internal::evaluator<Eigen::Matrix<float, -1, 1, 0, -1, 1> >::evaluator(Eigen::Matrix<float, -1, 1, 0, -1, 1> const&)
  0.26      3.79     0.01  7606420     0.00     0.00  Eigen::DenseCoeffsBase<Eigen::Matrix<float, -1, 1, 0, -1, 1>, 1>::coeffRef(long)
  0.26      3.80     0.01  2400100     0.00     0.00  void Eigen::internal::assign_op<float, float>::assignPacket<16, float __vector(4)>(float*, float __vector(4) const&) const
  0.26      3.81     0.01  1489050     0.00     0.00  float __vector(4) const Eigen::internal::scalar_constant_op<float>::packetOp<float __vector(4)>() const
  0.26      3.82     0.01  1044800     0.00     0.00  void Eigen::internal::gebp_traits<float, float, false, false>::madd<float __vector(4), float __vector(4), float __vector(4)>(float __vector(4) const&, float __vector(4) const&, float __vector(4)&, float __vector(4)&) const
  0.13      3.83     0.01  8347247     0.00     0.00  Eigen::Matrix<float, -1, -1, 0, -1, -1>::outerStride() const
  0.13      3.83     0.01  7606628     0.00     0.00  Eigen::EigenBase<Eigen::Matrix<float, -1, 1, 0, -1, 1> >::size() const
  0.13      3.84     0.01  7606420     0.00     0.00  Eigen::DenseCoeffsBase<Eigen::Matrix<float, -1, 1, 0, -1, 1>, 1>::operator()(long)
  0.13      3.84     0.01      500     0.00     0.00  Eigen::Matrix<float, -1, -1, 0, -1, -1>::innerStride() const
  0.13      3.85     0.01      100     0.00     0.00  Eigen::internal::evaluator<Eigen::PlainObjectBase<Eigen::Matrix<float, -1, -1, 0, -1, -1> > >::coeff(long) const
  0.13      3.85     0.01       10     0.00     0.00  Eigen::PlainObjectBase<Eigen::Matrix<float, -1, 1, 0, -1, 1> >::data()
  0.13      3.86     0.01        1     0.01     0.01  _GLOBAL__sub_I__Z14inference_onlyi
  0.13      3.86     0.01                             Eigen::Matrix<float, -1, 1, 0, -1, 1>::Matrix<Eigen::Block<Eigen::Matrix<float, -1, 1, 0, -1, 1> const, -1, -1, false> >(Eigen::EigenBase<Eigen::Block<Eigen::Matrix<float, -1, 1, 0, -1, 1> const, -1, -1, false> > const&)
  0.00      3.86     0.00 33391202     0.00     0.00  Eigen::EigenBase<Eigen::Matrix<float, -1, -1, 0, -1, -1> >::derived() const
  0.00      3.86     0.00 16700664     0.00     0.00  Eigen::DenseStorage<float, -1, -1, -1, 0>::rows() const
  0.00      3.86     0.00  8708820     0.00     0.00  Eigen::internal::evaluator<Eigen::PlainObjectBase<Eigen::Matrix<float, -1, 1, 0, -1, 1> > >::coeffRef(long)
  0.00      3.86     0.00  8351647     0.00     0.00  Eigen::DenseBase<Eigen::Matrix<float, -1, -1, 0, -1, -1> >::innerSize() const
  0.00      3.86     0.00  8348267     0.00     0.00  Eigen::internal::variable_if_dynamic<long, -1>::variable_if_dynamic(long)
  0.00      3.86     0.00  8346747     0.00     0.00  Eigen::DenseStorage<float, -1, -1, -1, 0>::data() const
  0.00      3.86     0.00  8346743     0.00     0.00  Eigen::PlainObjectBase<Eigen::Matrix<float, -1, -1, 0, -1, -1> >::data() const
  0.00      3.86     0.00  8346241     0.00     0.00  Eigen::internal::evaluator_base<Eigen::Matrix<float, -1, -1, 0, -1, -1> >::evaluator_base()
  0.00      3.86     0.00  8346241     0.00     0.00  Eigen::internal::evaluator_base<Eigen::Matrix<float, -1, -1, 0, -1, -1> >::~evaluator_base()
  0.00      3.86     0.00  8346241     0.00     0.00  Eigen::internal::evaluator<Eigen::PlainObjectBase<Eigen::Matrix<float, -1, -1, 0, -1, -1> > >::~evaluator()
  0.00      3.86     0.00  8346241     0.00     0.00  Eigen::internal::evaluator<Eigen::Matrix<float, -1, -1, 0, -1, -1> >::evaluator(Eigen::Matrix<float, -1, -1, 0, -1, -1> const&)
  0.00      3.86     0.00  8346241     0.00     0.00  Eigen::DenseCoeffsBase<Eigen::Matrix<float, -1, -1, 0, -1, -1>, 3>::outerStride() const
  0.00      3.86     0.00  8346159     0.00     0.00  Eigen::EigenBase<Eigen::Matrix<float, -1, -1, 0, -1, -1> >::derived()
  0.00      3.86     0.00  7607032     0.00     0.00  Eigen::PlainObjectBase<Eigen::Matrix<float, -1, 1, 0, -1, 1> >::cols() const
  0.00      3.86     0.00  7607032     0.00     0.00  Eigen::PlainObjectBase<Eigen::Matrix<float, -1, 1, 0, -1, 1> >::rows() const
  0.00      3.86     0.00  7606628     0.00     0.00  Eigen::EigenBase<Eigen::Matrix<float, -1, 1, 0, -1, 1> >::rows() const
  0.00      3.86     0.00  7606622     0.00     0.00  Eigen::internal::evaluator_base<Eigen::Matrix<float, -1, 1, 0, -1, 1> >::~evaluator_base()
  0.00      3.86     0.00  7606622     0.00     0.00  Eigen::internal::evaluator<Eigen::PlainObjectBase<Eigen::Matrix<float, -1, 1, 0, -1, 1> > >::evaluator(Eigen::PlainObjectBase<Eigen::Matrix<float, -1, 1, 0, -1, 1> > const&)
  0.00      3.86     0.00  7606622     0.00     0.00  Eigen::internal::evaluator<Eigen::PlainObjectBase<Eigen::Matrix<float, -1, 1, 0, -1, 1> > >::~evaluator()
  0.00      3.86     0.00  7606622     0.00     0.00  Eigen::internal::evaluator<Eigen::Matrix<float, -1, 1, 0, -1, 1> >::~evaluator()
  0.00      3.86     0.00  7606622     0.00     0.00  Eigen::DenseStorage<float, -1, -1, 1, 0>::data() const
  0.00      3.86     0.00  7606622     0.00     0.00  Eigen::PlainObjectBase<Eigen::Matrix<float, -1, 1, 0, -1, 1> >::data() const
  0.00      3.86     0.00  3196820     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::operator[](unsigned long)
  0.00      3.86     0.00  1687850     0.00     0.00  float __vector(4) Eigen::internal::pload<float __vector(4)>(Eigen::internal::unpacket_traits<float __vector(4)>::type const*)
  0.00      3.86     0.00  1491325     0.00     0.00  float __vector(4) Eigen::internal::pset1<float __vector(4)>(Eigen::internal::unpacket_traits<float __vector(4)>::type const&)
  0.00      3.86     0.00  1490100     0.00     0.00  Eigen::internal::evaluator<Eigen::PlainObjectBase<Eigen::Matrix<float, -1, -1, 0, -1, -1> > >::coeffRef(long)
  0.00      3.86     0.00  1489050     0.00     0.00  float __vector(4) Eigen::internal::nullary_wrapper<float, Eigen::internal::scalar_constant_op<float>, true, false, false>::packetOp<float __vector(4), long>(Eigen::internal::scalar_constant_op<float> const&, long, long) const
  0.00      3.86     0.00  1296650     0.00     0.00  float __vector(4) Eigen::internal::evaluator<Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<float>, Eigen::Matrix<float, -1, -1, 0, -1, -1> > >::packet<16, float __vector(4), long>(long) const
  0.00      3.86     0.00  1239300     0.00     0.00  float __vector(4) Eigen::internal::padd<float __vector(4)>(float __vector(4) const&, float __vector(4) const&)
  0.00      3.86     0.00  1149832     0.00     0.00  float __vector(4) Eigen::internal::ploadu<float __vector(4)>(Eigen::internal::unpacket_traits<float __vector(4)>::type const*)
  0.00      3.86     0.00  1112005     0.00     0.00  Eigen::internal::variable_if_dynamic<long, 1>::value()
  0.00      3.86     0.00  1104250     0.00     0.00  float __vector(4) Eigen::internal::evaluator<Eigen::PlainObjectBase<Eigen::Matrix<float, -1, -1, 0, -1, -1> > >::packet<16, float __vector(4)>(long) const
  0.00      3.86     0.00  1103300     0.00     0.00  float __vector(4) Eigen::internal::pmax<float __vector(4)>(float __vector(4) const&, float __vector(4) const&)
  0.00      3.86     0.00  1103300     0.00     0.00  float __vector(4) const Eigen::internal::scalar_max_op<float, float>::packetOp<float __vector(4)>(float __vector(4) const&, float __vector(4) const&) const
  0.00      3.86     0.00  1103200     0.00     0.00  void Eigen::internal::generic_dense_assignment_kernel<Eigen::internal::evaluator<Eigen::Matrix<float, -1, -1, 0, -1, -1> >, Eigen::internal::evaluator<Eigen::CwiseBinaryOp<Eigen::internal::scalar_max_op<float, float>, Eigen::Matrix<float, -1, -1, 0, -1, -1> const, Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<float>, Eigen::Matrix<float, -1, -1, 0, -1, -1> > const> >, Eigen::internal::assign_op<float, float>, 0>::assignPacket<16, 16, float __vector(4)>(long)
  0.00      3.86     0.00  1103200     0.00     0.00  float __vector(4) Eigen::internal::binary_evaluator<Eigen::CwiseBinaryOp<Eigen::internal::scalar_max_op<float, float>, Eigen::Matrix<float, -1, -1, 0, -1, -1> const, Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<float>, Eigen::Matrix<float, -1, -1, 0, -1, -1> > const>, Eigen::internal::IndexBased, Eigen::internal::IndexBased, float, float>::packet<16, float __vector(4)>(long) const
  0.00      3.86     0.00  1102800     0.00     0.00  float __vector(4) Eigen::internal::mapbase_evaluator<Eigen::Block<Eigen::Matrix<float, -1, -1, 0, -1, -1> const, -1, 1, true>, Eigen::Matrix<float, -1, 1, 0, -1, 1> >::packet<0, float __vector(4)>(long) const
  0.00      3.86     0.00  1046650     0.00     0.00  float __vector(4) Eigen::internal::pmul<float __vector(4)>(float __vector(4) const&, float __vector(4) const&)
  0.00      3.86     0.00  1044800     0.00     0.00  Eigen::internal::conj_helper<float __vector(4), float __vector(4), false, false>::pmul(float __vector(4) const&, float __vector(4) const&) const
  0.00      3.86     0.00   260800     0.00     0.00  void Eigen::internal::gebp_traits<float, float, false, false>::loadLhs<float __vector(4)>(float const*, float __vector(4)&) const
  0.00      3.86     0.00   193450     0.00     0.00  void Eigen::internal::generic_dense_assignment_kernel<Eigen::internal::evaluator<Eigen::Matrix<float, -1, -1, 0, -1, -1> >, Eigen::internal::evaluator<Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<float>, Eigen::Matrix<float, -1, -1, 0, -1, -1> > >, Eigen::internal::assign_op<float, float>, 0>::assignPacket<16, 16, float __vector(4)>(long)
  0.00      3.86     0.00   192400     0.00     0.00  Eigen::internal::evaluator_wrapper_base<Eigen::ArrayWrapper<Eigen::Matrix<float, -1, -1, 0, -1, -1> > >::coeffRef(long)
  0.00      3.86     0.00   192400     0.00     0.00  void Eigen::internal::generic_dense_assignment_kernel<Eigen::internal::evaluator<Eigen::ArrayWrapper<Eigen::Matrix<float, -1, -1, 0, -1, -1> > >, Eigen::internal::evaluator<Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<float>, Eigen::Array<float, -1, -1, 0, -1, -1> > >, Eigen::internal::add_assign_op<float, float>, 0>::assignPacket<16, 16, float __vector(4)>(long)
  0.00      3.86     0.00   192400     0.00     0.00  void Eigen::internal::add_assign_op<float, float>::assignPacket<16, float __vector(4)>(float*, float __vector(4) const&) const
  0.00      3.86     0.00   192400     0.00     0.00  float __vector(4) Eigen::internal::evaluator<Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<float>, Eigen::Array<float, -1, -1, 0, -1, -1> > >::packet<16, float __vector(4), long>(long) const
  0.00      3.86     0.00   130400     0.00     0.00  Eigen::internal::gebp_traits<float, float, false, false>::broadcastRhs(float const*, float __vector(4)&, float __vector(4)&, float __vector(4)&, float __vector(4)&)
  0.00      3.86     0.00   130400     0.00     0.00  void Eigen::internal::pbroadcast4<float __vector(4)>(Eigen::internal::unpacket_traits<float __vector(4)>::type const*, float __vector(4)&, float __vector(4)&, float __vector(4)&, float __vector(4)&)
  0.00      3.86     0.00    90372     0.00     0.00  float const& std::forward<float const&>(std::remove_reference<float const&>::type&)
  0.00      3.86     0.00    57449     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      3.86     0.00    57442     0.00     0.00  std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul>::min()
  0.00      3.86     0.00    57442     0.00     0.00  std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul>::operator()()
  0.00      3.86     0.00    57442     0.00     0.00  std::__detail::_Mod<unsigned long, 2147483647ul, 16807ul, 0ul, true, true>::__calc(unsigned long)
  0.00      3.86     0.00    57442     0.00     0.00  unsigned long std::__detail::__mod<unsigned long, 2147483647ul, 16807ul, 0ul>(unsigned long)
  0.00      3.86     0.00    57442     0.00     0.00  std::__detail::_Adaptor<std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul>, float>::operator()()
  0.00      3.86     0.00    57442     0.00     0.00  float std::generate_canonical<float, 24ul, std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul> >(std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul>&)
  0.00      3.86     0.00    57442     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      3.86     0.00    45406     0.00     0.00  operator new(unsigned long, void*)
  0.00      3.86     0.00    45186     0.00     0.00  void __gnu_cxx::new_allocator<float>::construct<float, float const&>(float*, float const&)
  0.00      3.86     0.00    45186     0.00     0.00  std::normal_distribution<float>::param_type::mean() const
  0.00      3.86     0.00    45186     0.00     0.00  std::normal_distribution<float>::param_type::stddev() const
  0.00      3.86     0.00    45186     0.00     0.00  void std::allocator_traits<std::allocator<float> >::construct<float, float const&>(std::allocator<float>&, float*, float const&)
  0.00      3.86     0.00    45186     0.00     0.00  float std::normal_distribution<float>::operator()<std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul> >(std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul>&)
  0.00      3.86     0.00    45186     0.00     0.00  float std::normal_distribution<float>::operator()<std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul> >(std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul>&, std::normal_distribution<float>::param_type const&)
  0.00      3.86     0.00    45186     0.00     0.00  std::vector<float, std::allocator<float> >::push_back(float const&)
  0.00      3.86     0.00    45186     0.00     0.00  std::__detail::_Adaptor<std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul>, float>::_Adaptor(std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul>&)
  0.00      3.86     0.00    43632     0.00     0.00  float __vector(4) const& Eigen::internal::conj_if<false>::pconj<float __vector(4)>(float __vector(4) const&) const
  0.00      3.86     0.00    35000     0.00     0.00  void Eigen::internal::pstoreu<float, float __vector(4)>(float*, float __vector(4) const&)
  0.00      3.86     0.00    34000     0.00     0.00  void Eigen::internal::prefetch<float>(float const*)
  0.00      3.86     0.00    22593     0.00     0.00  std::log(float)
  0.00      3.86     0.00    22593     0.00     0.00  std::sqrt(float)
  0.00      3.86     0.00    10908     0.00     0.00  Eigen::internal::ptranspose(Eigen::internal::PacketBlock<float __vector(4), 4>&)
  0.00      3.86     0.00     6200     0.00     0.00  Eigen::internal::variable_if_dynamic<long, 0>::value()
  0.00      3.86     0.00     4400     0.00     0.00  Eigen::internal::generic_dense_assignment_kernel<Eigen::internal::evaluator<Eigen::Matrix<float, -1, -1, 0, -1, -1> >, Eigen::internal::evaluator<Eigen::Replicate<Eigen::Matrix<float, -1, 1, 0, -1, 1>, 1, -1> >, Eigen::internal::add_assign_op<float, float>, 0>::innerSize() const
  0.00      3.86     0.00     4200     0.00     0.00  Eigen::internal::generic_dense_assignment_kernel<Eigen::internal::evaluator<Eigen::Matrix<float, -1, -1, 0, -1, -1> >, Eigen::internal::evaluator<Eigen::Replicate<Eigen::Matrix<float, -1, 1, 0, -1, 1>, 1, -1> >, Eigen::internal::add_assign_op<float, float>, 0>::assignCoeff(long, long)
  0.00      3.86     0.00     4200     0.00     0.00  Eigen::internal::generic_dense_assignment_kernel<Eigen::internal::evaluator<Eigen::Matrix<float, -1, -1, 0, -1, -1> >, Eigen::internal::evaluator<Eigen::Replicate<Eigen::Matrix<float, -1, 1, 0, -1, 1>, 1, -1> >, Eigen::internal::add_assign_op<float, float>, 0>::colIndexByOuterInner(long, long)
  0.00      3.86     0.00     4200     0.00     0.00  Eigen::internal::generic_dense_assignment_kernel<Eigen::internal::evaluator<Eigen::Matrix<float, -1, -1, 0, -1, -1> >, Eigen::internal::evaluator<Eigen::Replicate<Eigen::Matrix<float, -1, 1, 0, -1, 1>, 1, -1> >, Eigen::internal::add_assign_op<float, float>, 0>::rowIndexByOuterInner(long, long)
  0.00      3.86     0.00     4200     0.00     0.00  Eigen::internal::generic_dense_assignment_kernel<Eigen::internal::evaluator<Eigen::Matrix<float, -1, -1, 0, -1, -1> >, Eigen::internal::evaluator<Eigen::Replicate<Eigen::Matrix<float, -1, 1, 0, -1, 1>, 1, -1> >, Eigen::internal::add_assign_op<float, float>, 0>::assignCoeffByOuterInner(long, long)
  0.00      3.86     0.00     4200     0.00     0.00  Eigen::internal::add_assign_op<float, float>::assignCoeff(float&, float const&) const
  0.00      3.86     0.00     4200     0.00     0.00  Eigen::internal::unary_evaluator<Eigen::Replicate<Eigen::Matrix<float, -1, 1, 0, -1, 1>, 1, -1>, Eigen::internal::IndexBased, float>::coeff(long, long) const
  0.00      3.86     0.00     4200     0.00     0.00  Eigen::internal::evaluator<Eigen::PlainObjectBase<Eigen::Matrix<float, -1, 1, 0, -1, 1> > >::coeff(long, long) const
  0.00      3.86     0.00     2700     0.00     0.00  Eigen::EigenBase<Eigen::Block<Eigen::Matrix<float, -1, -1, 0, -1, -1> const, -1, 1, true> >::derived() const
  0.00      3.86     0.00     2500     0.00     0.00  Eigen::MapBase<Eigen::Block<Eigen::Matrix<float, -1, -1, 0, -1, -1> const, -1, 1, true>, 0>::rows() const
  0.00      3.86     0.00     2410     0.00     0.00  Eigen::EigenBase<Eigen::ArrayWrapper<Eigen::Matrix<float, -1, -1, 0, -1, -1> > >::derived() const
  0.00      3.86     0.00     2210     0.00     0.00  Eigen::ArrayWrapper<Eigen::Matrix<float, -1, -1, 0, -1, -1> >::rows() const
  0.00      3.86     0.00     2204     0.00     0.00  Eigen::EigenBase<Eigen::ArrayWrapper<Eigen::Matrix<float, -1, -1, 0, -1, -1> > >::rows() const
  0.00      3.86     0.00     2200     0.00     0.00  Eigen::DenseBase<Eigen::ArrayWrapper<Eigen::Matrix<float, -1, -1, 0, -1, -1> > >::innerSize() const
  0.00      3.86     0.00     2000     0.00     0.00  Eigen::internal::gebp_traits<float, float, false, false>::initAcc(float __vector(4)&)
  0.00      3.86     0.00     2000     0.00     0.00  Eigen::internal::evaluator_wrapper_base<Eigen::ArrayWrapper<Eigen::Matrix<float, -1, -1, 0, -1, -1> > >::coeffRef(long, long)
  0.00      3.86     0.00     1850     0.00     0.00  float __vector(4) Eigen::internal::pmadd<float __vector(4)>(float __vector(4) const&, float __vector(4) const&, float __vector(4) const&)
  0.00      3.86     0.00     1850     0.00     0.00  Eigen::internal::gebp_traits<float, float, false, false>::acc(float __vector(4) const&, float __vector(4) const&, float __vector(4)&) const
  0.00      3.86     0.00     1600     0.00     0.00  float __vector(4) Eigen::internal::pload1<float __vector(4)>(Eigen::internal::unpacket_traits<float __vector(4)>::type const*)
  0.00      3.86     0.00     1600     0.00     0.00  float __vector(4) Eigen::internal::ploadquad<float __vector(4)>(Eigen::internal::unpacket_traits<float __vector(4)>::type const*)
  0.00      3.86     0.00     1600     0.00     0.00  Eigen::MapBase<Eigen::Block<Eigen::Matrix<float, -1, -1, 0, -1, -1> const, -1, 1, true>, 0>::cols() const
  0.00      3.86     0.00     1600     0.00     0.00  Eigen::internal::gebp_traits<float, float, false, false>::loadRhsQuad(float const*, float __vector(4)&) const
  0.00      3.86     0.00     1600     0.00     0.00  void Eigen::internal::gebp_traits<float, float, false, false>::loadLhsUnaligned<float __vector(4)>(float const*, float __vector(4)&) const
  0.00      3.86     0.00     1200     0.00     0.00  Eigen::MapBase<Eigen::Block<Eigen::Matrix<float, -1, -1, 0, -1, -1> const, -1, 1, true>, 0>::data() const
  0.00      3.86     0.00     1200     0.00     0.00  Eigen::internal::assign_op<float, float>::assignCoeff(float&, float const&) const
  0.00      3.86     0.00     1100     0.00     0.00  Eigen::internal::generic_dense_assignment_kernel<Eigen::internal::evaluator<Eigen::ArrayWrapper<Eigen::Matrix<float, -1, -1, 0, -1, -1> > >, Eigen::internal::evaluator<Eigen::CwiseUnaryOp<Eigen::internal::scalar_exp_op<float>, Eigen::ArrayWrapper<Eigen::CwiseBinaryOp<Eigen::internal::scalar_difference_op<float, float>, Eigen::Matrix<float, -1, -1, 0, -1, -1> const, Eigen::Replicate<Eigen::PartialReduxExpr<Eigen::Matrix<float, -1, -1, 0, -1, -1> const, Eigen::internal::member_maxCoeff<float>, 0>, -1, 1> const> > const> >, Eigen::internal::assign_op<float, float>, 0>::innerSize() const
  0.00      3.86     0.00     1100     0.00     0.00  Eigen::internal::generic_dense_assignment_kernel<Eigen::internal::evaluator<Eigen::ArrayWrapper<Eigen::Matrix<float, -1, -1, 0, -1, -1> > >, Eigen::internal::evaluator<Eigen::Replicate<Eigen::Array<float, 1, -1, 1, 1, -1>, -1, 1> >, Eigen::internal::div_assign_op<float, float>, 0>::innerSize() const
  0.00      3.86     0.00     1050     0.00     0.00  void Eigen::internal::generic_dense_assignment_kernel<Eigen::internal::evaluator<Eigen::Matrix<float, -1, -1, 0, -1, -1> >, Eigen::internal::evaluator<Eigen::Matrix<float, -1, -1, 0, -1, -1> >, Eigen::internal::assign_op<float, float>, 0>::assignPacket<16, 16, float __vector(4)>(long)
  0.00      3.86     0.00     1008     0.00     0.00  Eigen::internal::variable_if_dynamic<long, 1>::variable_if_dynamic(long)
  0.00      3.86     0.00     1000     0.00     0.00  Eigen::internal::generic_dense_assignment_kernel<Eigen::internal::evaluator<Eigen::ArrayWrapper<Eigen::Matrix<float, -1, -1, 0, -1, -1> > >, Eigen::internal::evaluator<Eigen::CwiseUnaryOp<Eigen::internal::scalar_exp_op<float>, Eigen::ArrayWrapper<Eigen::CwiseBinaryOp<Eigen::internal::scalar_difference_op<float, float>, Eigen::Matrix<float, -1, -1, 0, -1, -1> const, Eigen::Replicate<Eigen::PartialReduxExpr<Eigen::Matrix<float, -1, -1, 0, -1, -1> const, Eigen::internal::member_maxCoeff<float>, 0>, -1, 1> const> > const> >, Eigen::internal::assign_op<float, float>, 0>::assignCoeff(long, long)
  0.00      3.86     0.00     1000     0.00     0.00  Eigen::internal::generic_dense_assignment_kernel<Eigen::internal::evaluator<Eigen::ArrayWrapper<Eigen::Matrix<float, -1, -1, 0, -1, -1> > >, Eigen::internal::evaluator<Eigen::CwiseUnaryOp<Eigen::internal::scalar_exp_op<float>, Eigen::ArrayWrapper<Eigen::CwiseBinaryOp<Eigen::internal::scalar_difference_op<float, float>, Eigen::Matrix<float, -1, -1, 0, -1, -1> const, Eigen::Replicate<Eigen::PartialReduxExpr<Eigen::Matrix<float, -1, -1, 0, -1, -1> const, Eigen::internal::member_maxCoeff<float>, 0>, -1, 1> const> > const> >, Eigen::internal::assign_op<float, float>, 0>::colIndexByOuterInner(long, long)
  0.00      3.86     0.00     1000     0.00     0.00  Eigen::internal::generic_dense_assignment_kernel<Eigen::internal::evaluator<Eigen::ArrayWrapper<Eigen::Matrix<float, -1, -1, 0, -1, -1> > >, Eigen::internal::evaluator<Eigen::CwiseUnaryOp<Eigen::internal::scalar_exp_op<float>, Eigen::ArrayWrapper<Eigen::CwiseBinaryOp<Eigen::internal::scalar_difference_op<float, float>, Eigen::Matrix<float, -1, -1, 0, -1, -1> const, Eigen::Replicate<Eigen::PartialReduxExpr<Eigen::Matrix<float, -1, -1, 0, -1, -1> const, Eigen::internal::member_maxCoeff<float>, 0>, -1, 1> const> > const> >, Eigen::internal::assign_op<float, float>, 0>::rowIndexByOuterInner(long, long)
